udprelay: listening on 0.0.0.0:4433, forwarding to 10.128.0.18:4433
udprelay: new dialer 128.239.2.78:53370 -> mapping 54230
udprelay: new dialer 128.239.2.78:60120 -> mapping 50231
udprelay: new dialer 128.239.2.78:52677 -> mapping 54507
udprelay: new dialer 128.239.2.78:56408 -> mapping 60980
udprelay: new dialer 128.239.2.78:40718 -> mapping 54859
udprelay: new dialer 128.239.2.78:51887 -> mapping 58164
udprelay: new dialer 128.239.2.78:49515 -> mapping 46040
udprelay: new dialer 128.239.2.78:60255 -> mapping 54247
udprelay: new dialer 128.239.2.78:51753 -> mapping 33728
udprelay: new dialer 128.239.2.78:51906 -> mapping 57674
udprelay: new dialer 128.239.2.78:50003 -> mapping 51489
udprelay: new dialer 128.239.2.78:35979 -> mapping 37918
udprelay: new dialer 128.239.2.78:49525 -> mapping 54900
udprelay: new dialer 128.239.2.78:59628 -> mapping 38723
udprelay: new dialer 128.239.2.78:41062 -> mapping 45306
udprelay: new dialer 128.239.2.78:35802 -> mapping 59387
udprelay: new dialer 128.239.2.78:39649 -> mapping 54333
udprelay: new dialer 128.239.2.78:47746 -> mapping 34488
udprelay: new dialer 128.239.2.78:60488 -> mapping 37909
udprelay: new dialer 128.239.2.78:53374 -> mapping 35178
udprelay: new dialer 128.239.2.78:46905 -> mapping 49266
udprelay: new dialer 128.239.2.78:40870 -> mapping 57937
udprelay: new dialer 128.239.2.78:33948 -> mapping 36264
udprelay: new dialer 128.239.2.78:33827 -> mapping 56321
udprelay: new dialer 128.239.2.78:56363 -> mapping 34994
udprelay: new dialer 128.239.2.78:55646 -> mapping 46157
udprelay: new dialer 128.239.2.78:47398 -> mapping 44565
udprelay: new dialer 128.239.2.78:36800 -> mapping 47974
udprelay: new dialer 128.239.2.78:38099 -> mapping 45655
udprelay: new dialer 128.239.2.78:46955 -> mapping 39532
udprelay: new dialer 128.239.2.78:51584 -> mapping 53829
udprelay: new dialer 128.239.2.78:37457 -> mapping 60538
udprelay: new dialer 128.239.2.78:36606 -> mapping 37387
udprelay: new dialer 128.239.2.78:43240 -> mapping 46138
udprelay: new dialer 128.239.2.78:37337 -> mapping 53961
udprelay: new dialer 128.239.2.78:33082 -> mapping 34078
udprelay: new dialer 128.239.2.78:44386 -> mapping 55591
udprelay: new dialer 128.239.2.78:59357 -> mapping 56469
udprelay: new dialer 128.239.2.78:41879 -> mapping 49765
udprelay: new dialer 128.239.2.78:38150 -> mapping 40792
udprelay: new dialer 128.239.2.78:42366 -> mapping 58677
udprelay: new dialer 128.239.2.78:33618 -> mapping 40138
udprelay: new dialer 128.239.2.78:41913 -> mapping 56727
udprelay: new dialer 128.239.2.78:51548 -> mapping 50392
udprelay: new dialer 128.239.2.78:53761 -> mapping 47219
udprelay: new dialer 128.239.2.78:33347 -> mapping 43402
udprelay: new dialer 128.239.2.78:55497 -> mapping 51328
udprelay: new dialer 128.239.2.78:45115 -> mapping 51318
udprelay: new dialer 128.239.2.78:50532 -> mapping 58132
udprelay: new dialer 128.239.2.78:36893 -> mapping 36880
udprelay: new dialer 128.239.2.78:60008 -> mapping 57210
udprelay: new dialer 128.239.2.78:55666 -> mapping 46730
udprelay: new dialer 128.239.2.78:44419 -> mapping 60554
udprelay: new dialer 128.239.2.78:33472 -> mapping 33085
udprelay: new dialer 128.239.2.78:53596 -> mapping 38016
udprelay: RELAYED dialer_to_listener_dgrams=551 listener_to_dialer_dgrams=447 dialer_to_listener_bytes=576656 listener_to_dialer_bytes=452499 tampered=0
udprelay: MARKER not found hits=0 marker='attested-tunnel-plaintext-marker' in 998 datagrams carrying 1029155 bytes
udprelay: dialers seen: 128.239.2.78
