udprelay: listening on 0.0.0.0:4433, forwarding to 10.128.0.18:4433
udprelay: new dialer 128.239.2.78:53189 -> mapping 39188
udprelay: new dialer 128.239.2.78:59490 -> mapping 46118
udprelay: new dialer 128.239.2.78:52952 -> mapping 41524
udprelay: new dialer 128.239.2.78:47025 -> mapping 40893
udprelay: new dialer 128.239.2.78:56032 -> mapping 41488
udprelay: new dialer 128.239.2.78:55114 -> mapping 55057
udprelay: new dialer 128.239.2.78:55932 -> mapping 48919
udprelay: new dialer 128.239.2.78:33980 -> mapping 32796
udprelay: new dialer 128.239.2.78:43265 -> mapping 59023
udprelay: new dialer 128.239.2.78:57717 -> mapping 60942
udprelay: new dialer 128.239.2.78:60131 -> mapping 37648
udprelay: new dialer 128.239.2.78:42728 -> mapping 50345
udprelay: new dialer 128.239.2.78:43849 -> mapping 53120
udprelay: new dialer 128.239.2.78:33606 -> mapping 46680
udprelay: new dialer 128.239.2.78:58474 -> mapping 48069
udprelay: new dialer 128.239.2.78:50038 -> mapping 52573
udprelay: new dialer 128.239.2.78:59159 -> mapping 32935
udprelay: new dialer 128.239.2.78:54168 -> mapping 37801
udprelay: new dialer 128.239.2.78:38301 -> mapping 36506
udprelay: new dialer 128.239.2.78:49189 -> mapping 33107
udprelay: new dialer 128.239.2.78:55003 -> mapping 42879
udprelay: new dialer 128.239.2.78:34799 -> mapping 44067
udprelay: new dialer 128.239.2.78:59788 -> mapping 45696
udprelay: new dialer 128.239.2.78:52418 -> mapping 44646
udprelay: new dialer 128.239.2.78:41160 -> mapping 35075
udprelay: new dialer 128.239.2.78:53531 -> mapping 59209
udprelay: new dialer 128.239.2.78:51287 -> mapping 44015
udprelay: new dialer 128.239.2.78:57233 -> mapping 46576
udprelay: new dialer 128.239.2.78:49624 -> mapping 43932
udprelay: new dialer 128.239.2.78:36348 -> mapping 37217
udprelay: new dialer 128.239.2.78:43133 -> mapping 53479
udprelay: new dialer 128.239.2.78:42978 -> mapping 51499
udprelay: new dialer 128.239.2.78:37650 -> mapping 43049
udprelay: new dialer 128.239.2.78:42169 -> mapping 60538
udprelay: new dialer 128.239.2.78:37024 -> mapping 55324
udprelay: new dialer 128.239.2.78:50718 -> mapping 32938
udprelay: new dialer 128.239.2.78:53321 -> mapping 34086
udprelay: new dialer 128.239.2.78:42891 -> mapping 36350
udprelay: new dialer 128.239.2.78:41773 -> mapping 44274
udprelay: new dialer 128.239.2.78:36130 -> mapping 44847
udprelay: new dialer 128.239.2.78:41918 -> mapping 38610
udprelay: new dialer 128.239.2.78:48024 -> mapping 45770
udprelay: new dialer 128.239.2.78:49254 -> mapping 49314
udprelay: new dialer 128.239.2.78:47124 -> mapping 53407
udprelay: new dialer 128.239.2.78:38770 -> mapping 58060
udprelay: new dialer 128.239.2.78:40876 -> mapping 58073
udprelay: new dialer 128.239.2.78:56379 -> mapping 39074
udprelay: new dialer 128.239.2.78:58029 -> mapping 56592
udprelay: new dialer 128.239.2.78:48083 -> mapping 57799
udprelay: new dialer 128.239.2.78:54316 -> mapping 54059
udprelay: new dialer 128.239.2.78:59453 -> mapping 43282
udprelay: new dialer 128.239.2.78:57353 -> mapping 59317
udprelay: new dialer 128.239.2.78:59817 -> mapping 34144
udprelay: new dialer 128.239.2.78:44358 -> mapping 56693
udprelay: new dialer 128.239.2.78:35199 -> mapping 39303
udprelay: new dialer 128.239.2.78:60360 -> mapping 35960
udprelay: new dialer 128.239.2.78:57404 -> mapping 55872
udprelay: RELAYED dialer_to_listener_dgrams=228 listener_to_dialer_dgrams=400 dialer_to_listener_bytes=220932 listener_to_dialer_bytes=465296 tampered=0
udprelay: MARKER not found hits=0 marker='attested-tunnel-plaintext-marker' in 628 datagrams carrying 686228 bytes
udprelay: dialers seen: 128.239.2.78
