series,iteration,request_bytes,response_bytes,nanoseconds
round-trip floor (5 B echo),0,5,15,317833
round-trip floor (5 B echo),1,5,15,572243
round-trip floor (5 B echo),2,5,15,378073
round-trip floor (5 B echo),3,5,15,503991
round-trip floor (5 B echo),4,5,15,395289
round-trip floor (5 B echo),5,5,15,324083
round-trip floor (5 B echo),6,5,15,506675
round-trip floor (5 B echo),7,5,15,426986
round-trip floor (5 B echo),8,5,15,471313
round-trip floor (5 B echo),9,5,15,337833
round-trip floor (5 B echo),10,5,15,694214
round-trip floor (5 B echo),11,5,15,390992
round-trip floor (5 B echo),12,5,15,608918
round-trip floor (5 B echo),13,5,15,704711
round-trip floor (5 B echo),14,5,15,488168
round-trip floor (5 B echo),15,5,15,580665
round-trip floor (5 B echo),16,5,15,604370
round-trip floor (5 B echo),17,5,15,388339
round-trip floor (5 B echo),18,5,15,351514
round-trip floor (5 B echo),19,5,15,332606
round-trip floor (5 B echo),20,5,15,471512
round-trip floor (5 B echo),21,5,15,511041
round-trip floor (5 B echo),22,5,15,384112
round-trip floor (5 B echo),23,5,15,547186
round-trip floor (5 B echo),24,5,15,379946
round-trip floor (5 B echo),25,5,15,323843
round-trip floor (5 B echo),26,5,15,503090
round-trip floor (5 B echo),27,5,15,426115
round-trip floor (5 B echo),28,5,15,460406
round-trip floor (5 B echo),29,5,15,323322
round-trip floor (5 B echo),30,5,15,380227
round-trip floor (5 B echo),31,5,15,485985
round-trip floor (5 B echo),32,5,15,302952
round-trip floor (5 B echo),33,5,15,457762
round-trip floor (5 B echo),34,5,15,525093
round-trip floor (5 B echo),35,5,15,474908
round-trip floor (5 B echo),36,5,15,413136
round-trip floor (5 B echo),37,5,15,369821
round-trip floor (5 B echo),38,5,15,691941
round-trip floor (5 B echo),39,5,15,520656
round-trip floor (5 B echo),40,5,15,470701
round-trip floor (5 B echo),41,5,15,655277
round-trip floor (5 B echo),42,5,15,546925
round-trip floor (5 B echo),43,5,15,542128
round-trip floor (5 B echo),44,5,15,585402
round-trip floor (5 B echo),45,5,15,532804
round-trip floor (5 B echo),46,5,15,395019
round-trip floor (5 B echo),47,5,15,531112
round-trip floor (5 B echo),48,5,15,664210
round-trip floor (5 B echo),49,5,15,551322
round-trip floor (5 B echo),50,5,15,600826
round-trip floor (5 B echo),51,5,15,463541
round-trip floor (5 B echo),52,5,15,879140
round-trip floor (5 B echo),53,5,15,604991
round-trip floor (5 B echo),54,5,15,605042
round-trip floor (5 B echo),55,5,15,743468
round-trip floor (5 B echo),56,5,15,520716
round-trip floor (5 B echo),57,5,15,773503
round-trip floor (5 B echo),58,5,15,759172
round-trip floor (5 B echo),59,5,15,638852
round-trip floor (5 B echo),60,5,15,546995
round-trip floor (5 B echo),61,5,15,762447
round-trip floor (5 B echo),62,5,15,593995
round-trip floor (5 B echo),63,5,15,401018
round-trip floor (5 B echo),64,5,15,630169
round-trip floor (5 B echo),65,5,15,549789
round-trip floor (5 B echo),66,5,15,489480
round-trip floor (5 B echo),67,5,15,529009
round-trip floor (5 B echo),68,5,15,734735
round-trip floor (5 B echo),69,5,15,468868
round-trip floor (5 B echo),70,5,15,620975
round-trip floor (5 B echo),71,5,15,403311
round-trip floor (5 B echo),72,5,15,535748
round-trip floor (5 B echo),73,5,15,547085
round-trip floor (5 B echo),74,5,15,540916
round-trip floor (5 B echo),75,5,15,4206239
round-trip floor (5 B echo),76,5,15,1070265
round-trip floor (5 B echo),77,5,15,603389
round-trip floor (5 B echo),78,5,15,651500
round-trip floor (5 B echo),79,5,15,614696
round-trip floor (5 B echo),80,5,15,500496
round-trip floor (5 B echo),81,5,15,460526
round-trip floor (5 B echo),82,5,15,851489
round-trip floor (5 B echo),83,5,15,751170
round-trip floor (5 B echo),84,5,15,350303
round-trip floor (5 B echo),85,5,15,625261
round-trip floor (5 B echo),86,5,15,309472
round-trip floor (5 B echo),87,5,15,412534
round-trip floor (5 B echo),88,5,15,487446
round-trip floor (5 B echo),89,5,15,517661
round-trip floor (5 B echo),90,5,15,241240
round-trip floor (5 B echo),91,5,15,576920
round-trip floor (5 B echo),92,5,15,430873
round-trip floor (5 B echo),93,5,15,625522
round-trip floor (5 B echo),94,5,15,562338
round-trip floor (5 B echo),95,5,15,616989
round-trip floor (5 B echo),96,5,15,428208
round-trip floor (5 B echo),97,5,15,420116
round-trip floor (5 B echo),98,5,15,698731
round-trip floor (5 B echo),99,5,15,410332
round-trip floor (5 B echo),100,5,15,384283
round-trip floor (5 B echo),101,5,15,351534
round-trip floor (5 B echo),102,5,15,406746
round-trip floor (5 B echo),103,5,15,299206
round-trip floor (5 B echo),104,5,15,370231
round-trip floor (5 B echo),105,5,15,515058
round-trip floor (5 B echo),106,5,15,540915
round-trip floor (5 B echo),107,5,15,449159
round-trip floor (5 B echo),108,5,15,429620
round-trip floor (5 B echo),109,5,15,587776
round-trip floor (5 B echo),110,5,15,520235
round-trip floor (5 B echo),111,5,15,529089
round-trip floor (5 B echo),112,5,15,531472
round-trip floor (5 B echo),113,5,15,636499
round-trip floor (5 B echo),114,5,15,434498
round-trip floor (5 B echo),115,5,15,579353
round-trip floor (5 B echo),116,5,15,532674
round-trip floor (5 B echo),117,5,15,613584
round-trip floor (5 B echo),118,5,15,590541
round-trip floor (5 B echo),119,5,15,515328
round-trip floor (5 B echo),120,5,15,545582
round-trip floor (5 B echo),121,5,15,461037
round-trip floor (5 B echo),122,5,15,543290
round-trip floor (5 B echo),123,5,15,576499
round-trip floor (5 B echo),124,5,15,496039
round-trip floor (5 B echo),125,5,15,304994
round-trip floor (5 B echo),126,5,15,371223
round-trip floor (5 B echo),127,5,15,723007
round-trip floor (5 B echo),128,5,15,660043
